0,790
100,206222
200,167507
300,188049
400,166716
500,170666
600,178963
700,188445
800,237037
900,228741
1000,297877
1100,231902
1200,398222
1300,250469
1400,278519
1500,393877
1600,202271
1700,243358
1800,231111
1900,258766
2000,262716
2100,231112
2200,316445
2300,318815
2400,239013
2500,223209
2600,241778
2700,310914
2800,245333
2900,426272
3000,332247
3100,223605
3200,250470
3300,331852
3400,374913
3500,281679
3600,299851
3700,296297
3800,382025
3900,323555
4000,387556
4100,243753
4200,287605
4300,312099
4400,310913
4500,407309
4600,311309
4700,385975
4800,251259
4900,303408
5000,359112
5100,262716
5200,282075
5300,250075
5400,241778
5500,304988
5600,405333
5700,378469
5800,284839
5900,404938
6000,305778
6100,278914
6200,281284
6300,421136
6400,515555
6500,503703
6600,570865
6700,433778
6800,283655
6900,489482
7000,367408
7100,333432
7200,276938
7300,330272
7400,404149
7500,315259
7600,364642
7700,369382
7800,431803
7900,339359
8000,323160
8100,276148
8200,246913
8300,368988
8400,279704
8500,366222
8600,335803
8700,421926
8800,426667
8900,623408
9000,361877
9100,352000
9200,294321
9300,365037
9400,313679
9500,352396
9600,274568
9700,293926
9800,364642
9900,444050
10000,392296
