n,AssignmentsBubblesort,ComparisonsBubblesort,totalOperationsBubblesort,n,AssignmentsInsertionsort,ComparisonsInsertionsort,totalOperationsInsertionsort,n,AssignmentsSelectionsort,ComparisonsSelectionsort,totalOperationsSelectionsort
8300,1867625,1942029,3809654,8300,639528,631229,1270757,8300,1533,34449149,34450682
8400,1957006,1971183,3928189,8400,651706,643307,1295013,8400,854,35284199,35285053
8500,1715732,1291124,3006856,8500,682443,673944,1356387,8500,1698,36129249,36130947
8600,1816632,2230464,4047096,8600,631566,622967,1254533,8600,973,36984299,36985272
8700,1472677,2062263,3534940,8700,637532,628833,1266365,8700,869,37849349,37850218
8800,2018071,2058080,4076151,8800,708635,699836,1408471,8800,1600,38724399,38725999
8900,1571989,2205454,3777443,8900,668830,659931,1328761,8900,889,39609449,39610338
9000,1954898,2351079,4305977,9000,752323,743324,1495647,9000,1094,40504499,40505593
9100,1912988,2642423,4555411,9100,707640,698541,1406181,9100,1747,41409549,41411296
9200,1922490,2366600,4289090,9200,780005,770806,1550811,9200,1834,42324599,42326433
9300,1790151,2482558,4272709,9300,744421,735122,1479543,9300,1855,43249649,43251504
9400,2080885,2758033,4838918,9400,804994,795595,1600589,9400,1877,44184699,44186576
9500,2119005,1623737,3742742,9500,772941,763442,1536383,9500,1309,45129749,45131058
9600,2224892,2849867,5074759,9600,791355,781756,1573111,9600,959,46084799,46085758
9700,2684316,2504186,5188502,9700,794656,784957,1579613,9700,969,47049849,47050818
9800,2744324,2825710,5570034,9800,834739,824940,1659679,9800,978,48024899,48025877
9900,2491429,2523569,5014998,9900,832133,822234,1654367,9900,988,49009949,49010937
10000,2471298,2832034,5303332,10000,917660,907661,1825321,10000,1325,50004999,50006324
