n,Heapsort,Quicksort
31900,2381670,11152346
32000,2389620,11260909
32100,2397620,11210218
32200,2405540,11204995
32300,2413500,11380986
32400,2421500,11445177
32500,2429430,11542621
32600,2437440,11638531
32700,2445380,11705063
32800,2453530,11673459
32900,2462160,11874145
33000,2470680,11895704
33100,2479050,12001380
33200,2487630,12029844
33300,2496110,11988720
33400,2504610,12071857
33500,2513150,12243233
33600,2521720,12331449
33700,2530200,12301533
33800,2538740,12327879
33900,2547050,12530931
34000,2555630,12518134
34100,2564200,12679905
34200,2572700,12697170
34300,2581140,12799009
34400,2589680,12899560
34500,2598170,13039510
34600,2606690,13102556
34700,2615160,13104304
34800,2623700,13210963
34900,2632130,13391416
35000,2640640,13184507
35100,2649150,13295003
35200,2657730,13472602
35300,2666240,13459333
35400,2674650,13505401
35500,2683230,13706272
35600,2691700,13708930
35700,2700290,13746455
35800,2708730,13937166
35900,2717230,13849482
36000,2725760,14292649
36100,2734320,14125994
36200,2742770,14104302
36300,2751360,14153214
36400,2759840,14326661
36500,2768290,14405966
36600,2776790,14462511
36700,2785340,14419139
36800,2793870,14581744
36900,2802260,14614037
37000,2810770,14920065
37100,2819290,14780581
37200,2827750,15096775
37300,2836390,15031752
37400,2844810,15139886
37500,2853260,15263774
37600,2861770,15365882
37700,2870290,15198464
37800,2878890,15367375
37900,2887340,15506692
38000,2895860,15575950
38100,2904230,15597238
38200,2912830,15757163
38300,2921380,15795382
38400,2929780,15993268
38500,2938370,15854956
38600,2946860,16060447
38700,2955370,16074946
38800,2963880,16225094
38900,2972400,16328778
39000,2980860,16497453
39100,2989330,16477623
39200,2997900,16551344
39300,3006480,16550923
39400,3015000,16851244
39500,3023470,16695874
39600,3031920,16883933
39700,3040390,16978432
39800,3048910,17056238
39900,3057410,17101872
40000,3066010,17164666
40100,3074510,17321842
40200,3082940,17449362
40300,3091480,17336965
40400,3099930,17685093
40500,3108530,17689499
40600,3116940,17634001
40700,3125520,17825060
40800,3134030,17775074
40900,3142540,17969277
41000,3151090,17930539
41100,3159540,18152956
41200,3168030,18055750
41300,3176580,18370313
41400,3185150,18430197
41500,3193600,18358709
41600,3202110,18561225
41700,3210560,18697347
41800,3219130,18809191
41900,3227620,18830577
42000,3236110,19049102
42100,3244610,18882007
42200,3253140,19052681
42300,3261560,19380789
42400,3270100,19315754
42500,3278670,19266197
42600,3287120,19406384
42700,3295670,19586725
42800,3304250,19701177
42900,3312650,19837372
43000,3321230,19779528
43100,3329630,19813717
43200,3338200,19967625
43300,3346650,20125954
43400,3355070,20153893
43500,3363710,20139997
43600,3372180,20354228
43700,3380710,20388402
43800,3389200,20562610
43900,3397720,20579728
44000,3406330,20709788
44100,3414680,20681332
44200,3423220,20776160
44300,3431730,20780818
44400,3440330,20897099
44500,3448780,21102902
44600,3457260,21254201
44700,3465790,21368209
44800,3474300,21503538
44900,3482870,21325542
45000,3491350,21657135
45100,3499820,21684750
45200,3508170,21876167
45300,3516740,21873315
45400,3525220,21879929
45500,3533820,22032682
45600,3542250,22159778
45700,3550760,22317786
45800,3559440,22372893
45900,3567810,22450927
46000,3576330,22404802
46100,3584800,22670777
46200,3593320,22652798
46300,3601760,22970952
46400,3610380,22744210
46500,3618900,23021262
46600,3627310,22965761
46700,3635830,23238572
46800,3644360,23439360
46900,3652790,23308422
47000,3661380,23604060
47100,3669910,23703088
47200,3678330,23688785
47300,3686820,23855183
47400,3695360,23773525
47500,3703870,23938134
47600,3712390,23916676
47700,3720850,24087198
47800,3729390,24295252
47900,3737880,24529009
48000,3746410,24418012
48100,3755020,24433008
48200,3763410,24770869
48300,3771910,24692227
48400,3780440,24793003
48500,3788950,24925590
48600,3797500,24986473
48700,3805870,25281668
48800,3814410,25195025
48900,3823010,25423385
49000,3831570,25388393
49100,3840040,25618523
49200,3848420,25672712
49300,3857010,25764706
49400,3865500,26029305
49500,3873940,25928454
49600,3882590,26123654
49700,3891080,26033785
49800,3899480,26207608
49900,3908030,26530600
50000,3916520,26407162
50100,3925080,26537307
50200,3933510,26682004
50300,3942010,26929480
50400,3950500,27104744
50500,3959030,26905408
50600,3967500,26976429
50700,3975930,27258485
50800,3984490,27324330
50900,3992990,27561014
51000,4001550,27561803
51100,4009940,27478639
51200,4018590,27670937
51300,4027000,27922249
51400,4035410,27903026
51500,4044080,27978431
51600,4052560,28241843
51700,4061080,28336702
51800,4069610,28253375
51900,4077990,28696822
52000,4086600,28764079
52100,4095120,28785782
52200,4103660,28773452
52300,4112090,28970660
52400,4120640,29077349
52500,4129090,29119543
52600,4137610,29250357
52700,4146100,29408436
52800,4154700,29535394
52900,4163180,29866339
53000,4171660,29677611
53100,4180150,29874522
53200,4188670,29864340
53300,4197200,29922816
53400,4205690,30110507
53500,4214090,30359631
53600,4222650,30169225
53700,4231190,30637743
53800,4239740,30448877
53900,4248110,30603788
54000,4256650,30731944
54100,4265190,30884011
54200,4273700,31283930
54300,4282240,31340862
54400,4290650,31264646
54500,4299190,31276031
54600,4307690,31435497
54700,4316230,31461922
54800,4324700,31462987
54900,4333240,31897558
55000,4341760,31929130
55100,4350180,32098496
55200,4358790,32424582
55300,4367340,32182714
55400,4375750,32397118
55500,4384300,32330238
55600,4392810,32425918
55700,4401310,32754053
55800,4409820,32790166
55900,4418290,32976384
56000,4426860,32900825
56100,4435310,33257743
56200,4443820,33452410
56300,4452430,33293953
56400,4460850,33539008
56500,4469310,33690929
56600,4477780,33768415
56700,4486340,33678299
56800,4494900,34004890
56900,4503380,34072834
57000,4511940,34230677
57100,4520430,34202825
57200,4528910,34345850
57300,4537440,34455203
57400,4545940,34520514
57500,4554380,34731170
57600,4562950,34984033
57700,4571520,35406049
57800,4579940,35155989
57900,4588560,35351585
58000,4596930,35457179
58100,4605440,35352153
58200,4614020,35715475
58300,4622610,35750161
58400,4631000,35958750
58500,4639440,36146518
58600,4647930,36173473
58700,4656420,36359971
58800,4665040,36415873
58900,4673460,36488008
59000,4682070,36760417
59100,4690530,36477260
59200,4699070,36758508
59300,4707510,37205644
59400,4716050,37057529
59500,4724500,37033856
59600,4732970,37528870
59700,4741640,37483792
